"source_section","source_section_name","field_id","field_name","destination","destination_field_name","destination_format","frequency","transformation","quirks_notes","spec_source"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","cdsl-bo","CORR_ADDR_LINE_3","CHAR(40)","on-modify","truncate to N","Line 02 positional; optional","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","ckyc","LOCAL_ADDRESS_LINE3","VARCHAR(55)","one-time","truncate to N","CKYC has three line fields plus city/district/state/pin","CKYC/2025/16"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","kra","CORR_ADDR_L3","VARCHAR(100)","on-modify","[direct]","Optional","[industry typical]"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","mcx-ucc","CORR_ADDR3","VARCHAR(100)","on-modify","[direct]","Optional","MCX/TECH/394/2023"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","nsdl-bo","AdrLine3","VARCHAR(100) UDiFF","on-modify","[direct]","Optional","NSDL/POLICY/2024/0041"
"B","Address Details","B-corr_address_line3","Correspondence Address Line 3","nse-ucc","CORR_ADDR3","VARCHAR(100)","on-modify","[direct]","Optional","NSE/ISC/61817"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","back-office","corr_addr_pf_type","VARCHAR(2)","one-time","[direct]","POA code table; needed for retention audit","[industry typical]"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","bse-ucc","ADDR_PROOF_TYPE","CHAR(2)","one-time","[direct]","POA code (Aadhaar/Passport/Utility/etc.)","BSE/20240223-42"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","cdsl-bo","ADDR_PROOF_TYPE","CHAR(2)","one-time","lookup against R","POA code table (A=Passport, B=Voter, etc.); mandatory in line 02","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","ckyc","LOCAL_ADDRESS_PROOF","CHAR(2)","one-time","lookup against R","CERSAI POA code list; revised for Foreign Nationals per CKYC/2025/03","CKYC/2025/03_Revised"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","kra","CORR_POA_TYPE","CHAR(2)","on-modify","lookup against R","POA code table A-Z; KRA validates document validity","SEBI/HO/MIRSD/SECFATF/P/CIR/2023/169"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","mcx-ucc","ADDR_PROOF_TYPE","CHAR(2)","one-time","[direct]","POA code; mandatory in onboarding upload","MCX/TECH/394/2023"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","nsdl-bo","AdrPrfTp","CHAR(2) UDiFF","one-time","lookup against R","POA type code element; mandatory","NSDL/POLICY/2025/0056"
"B","Address Details","B-corr_address_proof_type","Correspondence Address Proof Type","nse-ucc","ADDR_PROOF_TYPE","CHAR(2)","one-time","[direct]","POA code table; submitted with KYC bundle","NSE/ISC/61817"
"B","Address Details","B-corr_city","Correspondence City","aml-fiu","CITY","VARCHAR(50)","on-event","[direct]","STR/CTR geography; FIU uses city-level analysis for typology detection","FIU-IND-REPORTING-FORMAT-V114"
"B","Address Details","B-corr_city","Correspondence City","back-office","corr_city","VARCHAR(50)","on-modify","[direct]","feeds stamp-duty state lookup if state derived from city","[industry typical]"
"B","Address Details","B-corr_city","Correspondence City","bse-ucc","CORR_CITY","VARCHAR(50)","on-modify","lookup against R","Mandatory; validated against BSE city master","BSE/20240223-42"
"B","Address Details","B-corr_city","Correspondence City","cdsl-bo","CORR_CITY","CHAR(35)","on-modify","truncate to N","Right-pad with spaces; mandatory in line 02","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_city","Correspondence City","ckyc","LOCAL_CITY","VARCHAR(50)","one-time","lookup against R","CKYC validates against master Pin Code-District-City list","CKYC/2025/16"
"B","Address Details","B-corr_city","Correspondence City","fatca-crs","RES_CITY","VARCHAR(50)","on-event","[direct]","CRS City field","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"B","Address Details","B-corr_city","Correspondence City","kra","CORR_CITY","VARCHAR(50)","on-modify","formatted","Mandatory","[industry typical]"
"B","Address Details","B-corr_city","Correspondence City","mcx-ucc","CORR_CITY","VARCHAR(50)","on-modify","lookup against R","Validated against State-City Code Master (additions per MCX/S&I/507/2024)","MCX/S&I/507/2024"
"B","Address Details","B-corr_city","Correspondence City","nsdl-bo","TwnNm","VARCHAR(50) UDiFF","on-modify","[direct]","ISO 20022 TwnNm element; mandatory","NSDL/POLICY/2024/0041"
"B","Address Details","B-corr_city","Correspondence City","nse-ucc","CORR_CITY","VARCHAR(50)","on-modify","lookup against R","Validated against city code master","NSE/ISC/61817"
"B","Address Details","B-corr_country","Correspondence Country","aml-fiu","COUNTRY","CHAR(2)","on-event","lookup against R","non-IN country in CBWTR triggers enhanced reporting; FATF-grey-list countries flagged for STR","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/78"
"B","Address Details","B-corr_country","Correspondence Country","back-office","corr_country","VARCHAR(30)","on-modify","[direct]","default India; non-IN triggers FATCA/CRS workflow","[industry typical]"
"B","Address Details","B-corr_country","Correspondence Country","bse-ucc","CORR_COUNTRY","VARCHAR(30)","on-modify","[direct]","Default India","BSE/20240223-42"
"B","Address Details","B-corr_country","Correspondence Country","cdsl-bo","CORR_COUNTRY","CHAR(2)","on-modify","lookup against R","ISO 3166-1 alpha-2; default IN; line 02","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_country","Correspondence Country","ckyc","LOCAL_COUNTRY","CHAR(3)","one-time","lookup against R","CKYC uses ISO 3166 alpha-3","CKYC/2025/16"
"B","Address Details","B-corr_country","Correspondence Country","fatca-crs","RES_ADDRESS_COUNTRY","CHAR(2)","on-event","lookup against R","address country used as indicia under CRS; non-IN addr triggers self-cert review even if J01=Y","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"B","Address Details","B-corr_country","Correspondence Country","kra","CORR_COUNTRY","CHAR(2)","on-modify","lookup against R","ISO alpha-2; default IN","[industry typical]"
"B","Address Details","B-corr_country","Correspondence Country","mcx-ucc","CORR_COUNTRY","VARCHAR(30)","on-modify","[direct]","Default IN; Foreign category triggers separate handling","MCX/TECH/394/2023"
"B","Address Details","B-corr_country","Correspondence Country","nsdl-bo","Ctry","CHAR(2) UDiFF","on-modify","lookup against R","ISO 3166-1 alpha-2 country code in PstlAdr block","NSDL/POLICY/2024/0041"
"B","Address Details","B-corr_country","Correspondence Country","nse-ucc","CORR_COUNTRY","VARCHAR(30)","on-modify","[direct]","Default India; ISO code for Foreign clients","NSE/ISC/61817"
"B","Address Details","B-corr_district","Correspondence District","ckyc","LOCAL_DISTRICT","VARCHAR(50)","one-time","lookup against R","CKYC master district list; required for India addresses","CKYC/2025/16"
"B","Address Details","B-corr_district","Correspondence District","kra","CORR_DISTRICT","VARCHAR(50)","on-modify","formatted","Optional in KRA","[industry typical]"
"B","Address Details","B-corr_pincode","Correspondence Pincode","aml-fiu","PINCODE","VARCHAR(6)","on-event","[direct]","6-digit IN pin; foreign address blocked at this field; use V-block for overseas","FIU-IND-REPORTING-FORMAT-V114"
"B","Address Details","B-corr_pincode","Correspondence PIN Code","back-office","corr_pin","CHAR(6)","on-modify","[direct]","physical dispatch routing","[industry typical]"
"B","Address Details","B-corr_pincode","Correspondence PIN Code","bse-ucc","CORR_PIN","CHAR(6)","on-modify","[direct]","Mandatory; 6 digits","BSE/20240223-42"
"B","Address Details","B-corr_pincode","Correspondence Pincode","cdsl-bo","CORR_PINCODE","CHAR(6)","on-modify","[direct]","6-digit numeric; mandatory; right-padded with leading zeros if needed","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_pincode","Correspondence Pincode","ckyc","LOCAL_PIN_CODE","VARCHAR(10)","one-time","[direct]","CKYC supports international postcode for foreign addresses","CKYC/2025/03_Revised"
"B","Address Details","B-corr_pincode","Correspondence Pincode","contract-notes","ClientPincode","CHAR(6)","on-trade","[direct]","six-digit numeric; used with state for GST place-of-supply determination","[industry typical]"
"B","Address Details","B-corr_pincode","Correspondence Pincode","fatca-crs","RES_POSTCODE","VARCHAR(10)","on-event","[direct]","CRS PostCode field; 6 digits for IN; varies for foreign addresses","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"B","Address Details","B-corr_pincode","Correspondence Pincode","kra","CORR_PINCODE","CHAR(6)","on-modify","[direct]","6 digits for India","[industry typical]"
"B","Address Details","B-corr_pincode","Correspondence PIN Code","mcx-ucc","CORR_PIN","CHAR(6)","on-modify","[direct]","6 digits mandatory in pipe-delimited record","MCX/TECH/394/2023"
"B","Address Details","B-corr_pincode","Correspondence Pincode","nsdl-bo","PstCd","CHAR(6) UDiFF","on-modify","[direct]","ISO 20022 PstCd element; numeric validation","NSDL/POLICY/2024/0041"
"B","Address Details","B-corr_pincode","Correspondence PIN Code","nse-ucc","CORR_PIN","CHAR(6)","on-modify","[direct]","6 digits; mandatory bundled with address per NSE/ISC/47869","NSE/ISC/47869"
"B","Address Details","B-corr_state","Correspondence State","aml-fiu","STATE","VARCHAR(30)","on-event","lookup against R","state-code lookup; FINnet uses standard state list","FIU-IND-REPORTING-FORMAT-V114"
"B","Address Details","B-corr_state","Correspondence State Code","back-office","corr_state_code","VARCHAR(2)","on-modify","lookup against R","drives stamp-duty rate per state for contract-note charges","[industry typical]"
"B","Address Details","B-corr_state","Correspondence State Code","back-office","stamp_duty_rate_pct","NUMBER(5,4)","on-trade","lookup against R","state code drives stamp-duty rate lookup; computed per trade; Maharashtra 0.005%, Delhi 0.005%, etc","Indian Stamp Act + Maharashtra Stamp Act"
"B","Address Details","B-corr_state","Correspondence State","bse-ucc","CORR_STATE","VARCHAR(30)","on-modify","lookup against R","State code; mandatory","BSE/20240223-42"
"B","Address Details","B-corr_state","Correspondence State","cdsl-bo","CORR_STATE","CHAR(2)","on-modify","lookup against R","CDSL state code table (2 chars); mandatory; rejection if invalid code","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-corr_state","Correspondence State","ckyc","LOCAL_STATE","CHAR(2)","one-time","lookup against R","CKYC master state list; INTL for non-Indian","CKYC/2025/16"
"B","Address Details","B-corr_state","Correspondence State","contract-notes","StateForStampDuty","CHAR(2)","on-trade","lookup against R","drives state-code for stamp-duty levy on the contract; CC withholds settlement on mismatch","NSE/INSP/61999"
"B","Address Details","B-corr_state","Correspondence State","kra","CORR_STATE","CHAR(2)","on-modify","lookup against R","2-letter state code per Appendix A","[industry typical]"
"B","Address Details","B-corr_state","Correspondence State","mcx-ucc","CORR_STATE","VARCHAR(30)","on-modify","lookup against R","State-City master code; mandatory","MCX/S&I/507/2024"
"B","Address Details","B-corr_state","Correspondence State","nsdl-bo","CtrySubDvsn","CHAR(2) UDiFF","on-modify","lookup against R","ISO 3166-2 subdivision (e.g. IN-MH); mandatory; per V2.0.0.0 catalogue","NSDL/POLICY/2025/0042"
"B","Address Details","B-corr_state","Correspondence State","nse-ucc","CORR_STATE","VARCHAR(30)","on-modify","lookup against R","State code lookup; required field","NSE/ISC/61817"
"B","Address Details","B-corr_state","Correspondence State","regulatory-reports","StampDutyState","CHAR(2)","daily","lookup against R","state-wise stamp-duty reconciliation file from CC; Indian Stamp Act 1899 (Jul-2020 amendment)","NSE/INSP/61999"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","back-office","perm_addr1","VARCHAR(100)","on-modify","[direct]","ITR Form 16A printout uses perm address","[industry typical]"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","bse-ucc","PERM_ADDR1","VARCHAR(100)","on-modify","null-if-Z","Null if perm_same_as_corr=Y","BSE/20240223-42"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","cdsl-bo","PERM_ADDR_LINE_1","CHAR(40)","on-modify","truncate to N","Line 03 of fixed-length; truncate to 40; right-pad with spaces; mandatory if perm_same_as_corr=N","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","ckyc","PERM_ADDRESS_LINE1","VARCHAR(55)","one-time","truncate to N","CKYC permanent block; truncate to 55 chars","CKYC/2025/16"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","kra","PERM_ADDR_L1","VARCHAR(100)","on-modify","[direct]","Conditional; required if perm_same_as_corr=N","[industry typical]"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","mcx-ucc","PERM_ADDR1","VARCHAR(100)","on-modify","null-if-Z","Null if perm_same_as_corr=Y","MCX/TECH/394/2023"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","nsdl-bo","PrmnntAdrLine1","VARCHAR(100) UDiFF","on-modify","[direct]","ISO-tagged element in PrmnntPstlAdr block","NSDL/POLICY/2024/0041"
"B","Address Details","B-perm_address_line1","Permanent Address Line 1","nse-ucc","PERM_ADDR1","VARCHAR(100)","on-modify","null-if-Z","Required if perm_same_as_corr=N","NSE/ISC/61817"
"B","Address Details","B-perm_address_line2","Permanent Address Line 2","ckyc","PERM_ADDRESS_LINE2","VARCHAR(55)","one-time","truncate to N","CKYC permanent block","CKYC/2025/16"
"B","Address Details","B-perm_address_line2","Permanent Address Line 2","kra","PERM_ADDR_L2","VARCHAR(100)","on-modify","[direct]","Conditional","[industry typical]"
"B","Address Details","B-perm_address_line3","Permanent Address Line 3","ckyc","PERM_ADDRESS_LINE3","VARCHAR(55)","one-time","truncate to N","CKYC permanent block","CKYC/2025/16"
"B","Address Details","B-perm_address_line3","Permanent Address Line 3","kra","PERM_ADDR_L3","VARCHAR(100)","on-modify","[direct]","Conditional","[industry typical]"
"B","Address Details","B-perm_address_proof_type","Permanent Address Proof Type","ckyc","PERM_ADDRESS_PROOF","CHAR(2)","one-time","lookup against R","CERSAI POA code; same as local POA code list","CKYC/2025/03_Revised"
"B","Address Details","B-perm_address_proof_type","Permanent Address Proof Type","kra","PERM_POA_TYPE","CHAR(2)","on-modify","lookup against R","Conditional; POA code","[industry typical]"
"B","Address Details","B-perm_city","Permanent City","back-office","perm_city","VARCHAR(50)","on-modify","[direct]","used in CKYC submission record retained in BO","[industry typical]"
"B","Address Details","B-perm_city","Permanent City","bse-ucc","PERM_CITY","VARCHAR(50)","on-modify","lookup against R","Conditional","BSE/20240223-42"
"B","Address Details","B-perm_city","Permanent City","cdsl-bo","PERM_CITY","CHAR(35)","on-modify","truncate to N","Line 03 positional; conditional on perm_same_as_corr=N","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_city","Permanent City","ckyc","PERM_CITY","VARCHAR(50)","one-time","lookup against R","CKYC master city list","CKYC/2025/16"
"B","Address Details","B-perm_city","Permanent City","kra","PERM_CITY","VARCHAR(50)","on-modify","formatted","Conditional","[industry typical]"
"B","Address Details","B-perm_city","Permanent City","mcx-ucc","PERM_CITY","VARCHAR(50)","on-modify","lookup against R","City master lookup","MCX/S&I/507/2024"
"B","Address Details","B-perm_city","Permanent City","nsdl-bo","PrmnntTwnNm","VARCHAR(50) UDiFF","on-modify","[direct]","Conditional element","NSDL/POLICY/2024/0041"
"B","Address Details","B-perm_city","Permanent City","nse-ucc","PERM_CITY","VARCHAR(50)","on-modify","lookup against R","Required when permanent address differs","NSE/ISC/61817"
"B","Address Details","B-perm_country","Permanent Country","back-office","perm_country","VARCHAR(30)","on-modify","[direct]","default India","[industry typical]"
"B","Address Details","B-perm_country","Permanent Country","bse-ucc","PERM_COUNTRY","VARCHAR(30)","on-modify","null-if-Z","Default India","BSE/20240223-42"
"B","Address Details","B-perm_country","Permanent Country","cdsl-bo","PERM_COUNTRY","CHAR(2)","on-modify","lookup against R","ISO 3166-1 alpha-2","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_country","Permanent Country","ckyc","PERM_COUNTRY","CHAR(3)","one-time","lookup against R","CKYC ISO alpha-3","CKYC/2025/16"
"B","Address Details","B-perm_country","Permanent Country","kra","PERM_COUNTRY","CHAR(2)","on-modify","lookup against R","Conditional; ISO alpha-2","[industry typical]"
"B","Address Details","B-perm_country","Permanent Country","mcx-ucc","PERM_COUNTRY","VARCHAR(30)","on-modify","null-if-Z","Default India","MCX/TECH/394/2023"
"B","Address Details","B-perm_country","Permanent Country","nsdl-bo","PrmnntCtry","CHAR(2) UDiFF","on-modify","lookup against R","ISO 3166-1 alpha-2","NSDL/POLICY/2024/0041"
"B","Address Details","B-perm_country","Permanent Country","nse-ucc","PERM_COUNTRY","VARCHAR(30)","on-modify","null-if-Z","Default India if domestic","NSE/ISC/61817"
"B","Address Details","B-perm_district","Permanent District","ckyc","PERM_DISTRICT","VARCHAR(50)","one-time","lookup against R","CKYC master district list","CKYC/2025/16"
"B","Address Details","B-perm_district","Permanent District","kra","PERM_DISTRICT","VARCHAR(50)","on-modify","formatted","Optional","[industry typical]"
"B","Address Details","B-perm_pincode","Permanent PIN Code","back-office","perm_pin","CHAR(6)","on-modify","[direct]","needed for transmission documents","[industry typical]"
"B","Address Details","B-perm_pincode","Permanent PIN Code","bse-ucc","PERM_PIN","CHAR(6)","on-modify","null-if-Z","Conditional","BSE/20240223-42"
"B","Address Details","B-perm_pincode","Permanent Pincode","cdsl-bo","PERM_PINCODE","CHAR(6)","on-modify","[direct]","6-digit numeric","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_pincode","Permanent Pincode","ckyc","PERM_PIN_CODE","VARCHAR(10)","one-time","[direct]","CKYC supports intl postcode","CKYC/2025/03_Revised"
"B","Address Details","B-perm_pincode","Permanent Pincode","kra","PERM_PINCODE","CHAR(6)","on-modify","[direct]","Conditional","[industry typical]"
"B","Address Details","B-perm_pincode","Permanent PIN Code","mcx-ucc","PERM_PIN","CHAR(6)","on-modify","null-if-Z","Conditional 6-digit","MCX/TECH/394/2023"
"B","Address Details","B-perm_pincode","Permanent Pincode","nsdl-bo","PrmnntPstCd","CHAR(6) UDiFF","on-modify","[direct]","Numeric pincode","NSDL/POLICY/2024/0041"
"B","Address Details","B-perm_pincode","Permanent PIN Code","nse-ucc","PERM_PIN","CHAR(6)","on-modify","null-if-Z","6 digits if perm differs","NSE/ISC/61817"
"B","Address Details","B-perm_same_as_corr","Permanent Same as Correspondence","back-office","perm_same_flag","CHAR(1)","on-modify","[direct]","if Y, perm_* fields copy-on-modify of corr_*","[industry typical]"
"B","Address Details","B-perm_same_as_corr","Permanent Same As Correspondence","bse-ucc","PERM_SAME_FLAG","CHAR(1)","one-time","[direct]","Y/N flag","BSE/20240223-42"
"B","Address Details","B-perm_same_as_corr","Permanent Same as Correspondence","cdsl-bo","PERM_SAME_FLAG","CHAR(1)","one-time","[direct]","Y/N; if Y then permanent address fields blank-padded; line 03 position","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_same_as_corr","Permanent Same as Correspondence","ckyc","PERMANENT_SAME_FLAG","CHAR(1)","one-time","[direct]","CKYC omits permanent block if Y","CKYC/2020/04"
"B","Address Details","B-perm_same_as_corr","Permanent Same as Correspondence","kra","PERM_SAME_FLAG","CHAR(1)","on-modify","[direct]","If Y, KRA omits permanent section","[industry typical]"
"B","Address Details","B-perm_same_as_corr","Permanent Same As Correspondence","mcx-ucc","PERM_SAME_FLAG","CHAR(1)","one-time","[direct]","Y/N flag","MCX/TECH/394/2023"
"B","Address Details","B-perm_same_as_corr","Permanent Same as Correspondence","nsdl-bo","PrmnntSameFlg","CHAR(1) UDiFF","one-time","[direct]","Y/N element; if Y, permanent address block omitted in XML","NSDL/POLICY/2025/0056"
"B","Address Details","B-perm_same_as_corr","Permanent Same As Correspondence","nse-ucc","PERM_SAME_FLAG","CHAR(1)","one-time","[direct]","Y/N; drives auto-copy of permanent address fields","NSE/ISC/61817"
"B","Address Details","B-perm_state","Permanent State Code","back-office","perm_state_code","VARCHAR(2)","on-modify","lookup against R","state-code lookup; only differs from corr in <20% of cases","[industry typical]"
"B","Address Details","B-perm_state","Permanent State","bse-ucc","PERM_STATE","VARCHAR(30)","on-modify","lookup against R","Conditional","BSE/20240223-42"
"B","Address Details","B-perm_state","Permanent State","cdsl-bo","PERM_STATE","CHAR(2)","on-modify","lookup against R","CDSL state code; line 03","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-perm_state","Permanent State","ckyc","PERM_STATE","CHAR(2)","one-time","lookup against R","CKYC master state list","CKYC/2025/16"
"B","Address Details","B-perm_state","Permanent State","kra","PERM_STATE","CHAR(2)","on-modify","lookup against R","Conditional","[industry typical]"
"B","Address Details","B-perm_state","Permanent State","mcx-ucc","PERM_STATE","VARCHAR(30)","on-modify","lookup against R","State-City master","MCX/S&I/507/2024"
"B","Address Details","B-perm_state","Permanent State","nsdl-bo","PrmnntCtrySubDvsn","CHAR(2) UDiFF","on-modify","lookup against R","ISO 3166-2 subdivision code","NSDL/POLICY/2025/0042"
"B","Address Details","B-perm_state","Permanent State","nse-ucc","PERM_STATE","VARCHAR(30)","on-modify","lookup against R","Conditional state code","NSE/ISC/61817"
"B","Address Details","B-poa_address_same_as_corr","POA Same as Correspondence","cdsl-bo","POA_SAME_FLAG","CHAR(1)","one-time","[direct]","Y/N flag; POA document address same as corr address","CDSL/OPS/DP/SYSTM/2023/119"
"B","Address Details","B-poa_address_same_as_corr","POA Same as Correspondence","nsdl-bo","POASameFlg","CHAR(1) UDiFF","one-time","[direct]","Y/N element","NSDL/POLICY/2025/0056"
"C","Contact Details","C-alternate_email","Alternate Email","back-office","alt_email_id","VARCHAR(100)","on-modify","lowercase","secondary delivery if primary bounces","[industry typical]"
"C","Contact Details","C-alternate_email","Alternate Email","bse-ucc","ALT_EMAIL","VARCHAR(100)","on-modify","lowercase","Optional","BSE/20240223-42"
"C","Contact Details","C-alternate_email","Alternate Email","cdsl-bo","ALT_EMAIL","CHAR(100)","on-modify","lowercase","Optional","CDSL/OPS/DP/POLCY/2024/208"
"C","Contact Details","C-alternate_email","Alternate Email","ckyc","ALTERNATE_EMAIL","VARCHAR(100)","one-time","lowercase","CKYC optional","CKYC/2020/04"
"C","Contact Details","C-alternate_email","Alternate Email","dlt-comms","CC_EMAIL","VARCHAR(100)","on-event","lowercase","typically family-member/authorized-user; SEBI does not mandate alert here","[industry typical]"
"C","Contact Details","C-alternate_email","Alternate Email","kra","ALT_EMAIL","VARCHAR(100)","on-modify","lowercase","Optional","[industry typical]"
"C","Contact Details","C-alternate_email","Alternate Email","mcx-ucc","ALT_EMAIL","VARCHAR(100)","on-modify","lowercase","Optional; relationship code required if non-self","MCX/S&I/663/2024"
"C","Contact Details","C-alternate_email","Alternate Email","nsdl-bo","AltEmailAdr","VARCHAR(100) UDiFF","on-modify","lowercase","Optional element","NSDL/POLICY/2025/0056"
"C","Contact Details","C-alternate_email","Alternate Email","nse-ucc","ALT_EMAIL","VARCHAR(100)","on-modify","lowercase","Optional; with relationship if non-self","NSE/ISC/61817"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","back-office","alt_mobile_no","VARCHAR(15)","on-modify","[direct]","fallback for transmission/closure intimation","[industry typical]"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","bse-ucc","ALT_MOBILE","VARCHAR(15)","on-modify","[direct]","Optional","BSE/20240223-42"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","cdsl-bo","ALT_MOBILE","CHAR(15)","on-modify","[direct]","Line 04 optional position; right-padded","CDSL/OPS/DP/POLCY/2024/208"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","ckyc","ALTERNATE_MOBILE","VARCHAR(15)","one-time","[direct]","CKYC optional","CKYC/2020/04"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","dlt-comms","CC_MSISDN","CHAR(10)","on-event","derived from Y","optional CC for critical alerts (margin call, contract note); not always populated","[industry typical]"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","kra","ALT_MOBILE","VARCHAR(15)","on-modify","[direct]","Optional; not validated","[industry typical]"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","mcx-ucc","ALT_MOBILE","VARCHAR(15)","on-modify","[direct]","Optional; relationship code required if non-self","MCX/S&I/663/2024"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","nsdl-bo","AltMblNb","VARCHAR(15) UDiFF","on-modify","[direct]","Optional ISO-tagged element","NSDL/POLICY/2025/0056"
"C","Contact Details","C-alternate_mobile","Alternate Mobile","nse-ucc","ALT_MOBILE","VARCHAR(15)","on-modify","[direct]","Optional; family member with relationship code if used","NSE/ISC/61817"
"C","Contact Details","C-email","Email","aml-fiu","EMAIL","VARCHAR(100)","on-event","lowercase","customer-attribute field; FIU cross-references against other RE filings","FIU-IND-REPORTING-FORMAT-V114"
"C","Contact Details","C-email","Email","back-office","email_id","VARCHAR(100)","on-modify","lowercase","contract-note ECN dispatch; quarterly statement; ITR Form 16A","SEBI/HO/MIRSD/POD-1/P/CIR/2025/94"
"C","Contact Details","C-email","Email Address","bse-ucc","EMAIL_ID","VARCHAR(100)","on-modify","lowercase","Mandatory; OTP-validated; client accounts with unverified email marked ON HOLD","BSE/20230819-6"
"C","Contact Details","C-email","Email","cdsl-bo","EMAIL_ID","CHAR(100)","on-modify","lowercase","Line 04 fixed-length; mandatory per CDSL POLCY/2021/152; right-padded with spaces; RFC 5322 validation; e-CAS sent to this address","CDSL/OPS/DP/POLCY/2021/152"
"C","Contact Details","C-email","Email Address","ckyc","EMAIL_ID","VARCHAR(100)","one-time","lowercase","CKYC stores in lowercase; used in download notifications","CKYC/2025/16"
"C","Contact Details","C-email","Email Address","contract-notes","ClientEmail","VARCHAR(100)","on-trade","lowercase","primary ECN delivery channel; T+24h dispatch SLA; bounce-back retried on alt-email","NSE/INSP/61999"
"C","Contact Details","C-email","Email Address","dlt-comms","TO_EMAIL","VARCHAR(100)","on-event","lowercase","email gateway uses TLS; bounce/complaint rate must be < 0.1% under ESP rules","[industry typical]"
"C","Contact Details","C-email","Email","fatca-crs","CONTACT_EMAIL","VARCHAR(100)","on-event","lowercase","contact channel; not itself indicia; used for self-cert refresh reminders","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/12"
"C","Contact Details","C-email","Email Address","kra","EMAIL","VARCHAR(100)","on-modify","lowercase","KRA validates via email link; kra_email_validated flag set","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/41"
"C","Contact Details","C-email","Email Address","mcx-ucc","EMAIL_ID","VARCHAR(100)","on-modify","lowercase","Mandatory effective 21 Oct 2024 across all UCC categories; AP/employee personal email triggers Rs.15000 penalty","MCX/S&I/663/2024"
"C","Contact Details","C-email","Email","nsdl-bo","EmailAdr","VARCHAR(100) UDiFF","on-modify","lowercase","ISO-tagged element; mandatory; e-CAS by 12th of month sent here","NSDL/POLICY/2025/0022"
"C","Contact Details","C-email","Email Address","nse-ucc","EMAIL_ID","VARCHAR(100)","on-modify","lowercase","Mandatory; 'notprovided@notprovided.com' disallowed; clients without valid email by deadline flagged Closed","NSE/ISC/47869"
"C","Contact Details","C-email_authorised_person","Authorised/Contact Person Name (for Email)","bse-ucc","EMAIL_AUTH_NAME","VARCHAR(100)","one-time","[direct]","Dependent field","BSE/20240223-42"
"C","Contact Details","C-email_authorised_person","Authorised/Contact Person Name (for Email)","mcx-ucc","EMAIL_AUTH_NAME","VARCHAR(100)","one-time","[direct]","Mandatory dependent on Client Email ID (per MCX/S&I/663/2024)","MCX/S&I/663/2024"
"C","Contact Details","C-email_authorised_person","Authorised/Contact Person Name (for Email)","nse-ucc","EMAIL_AUTH_NAME","VARCHAR(100)","one-time","[direct]","Mandatory if email is not own; identifies email-receiving authorised person","NSE/ISC/61817"
"C","Contact Details","C-email_relationship","Relationship with Client (for Email)","bse-ucc","EMAIL_REL","VARCHAR(20)","one-time","[direct]","Dependent field when email is not self's","BSE/20240223-42"
